seller_id,monthly_revenue,revenue_growth,order_volume,avg_order_value,return_rate,rating,days_active,inventory_turnover,late_ship_rate,previous_loans,platform,category,defaulted
VN00170,56780180.0,0.3302,559,133823.0,0.0353,4.8,150,12.79,0.2166,5,Lazada,Fashion,0
VN00171,51282708.0,-0.006,927,251939.0,0.0845,4.8,1099,6.79,0.0406,1,TikTok Shop,Beauty,0
VN00172,54197335.0,0.5368,166,195968.0,0.0309,4.8,1333,8.52,0.0137,2,Shopee,Fashion,0
VN00173,94317161.0,-0.0106,1196,252941.0,0.0913,4.5,1168,13.13,0.0476,3,Lazada,Fashion,0
VN00174,129069810.0,0.7803,667,297130.0,0.1047,4.7,1221,6.8,0.0325,5,Shopee,Food,0
VN00175,122978254.0,0.1184,972,133037.0,0.1375,4.2,464,5.74,0.1211,5,Shopee,Home,0
VN00176,185838288.0,0.3373,777,155193.0,0.1059,3.9,1299,12.56,0.3673,5,TikTok Shop,Beauty,0
VN00177,100911194.0,-0.2868,638,187101.0,0.0319,3.9,513,12.8,0.2731,3,TikTok Shop,Fashion,1
VN00178,297269757.0,0.1827,670,295596.0,0.0226,3.4,1428,5.29,0.2821,2,TikTok Shop,Electronics,0
VN00179,81940782.0,0.6905,464,178608.0,0.1281,4.0,309,8.49,0.0404,5,Lazada,Electronics,0
VN00180,768635079.0,0.6571,735,82409.0,0.177,4.1,1799,13.51,0.097,5,Lazada,Home,0
VN00181,159770746.0,-0.0696,57,181845.0,0.3509,4.1,1075,1.25,0.0638,2,Shopee,Fashion,1
VN00182,52542443.0,-0.0674,278,289710.0,0.1344,5.0,743,1.04,0.1912,3,Lazada,Home,0
VN00183,44760232.0,0.6716,1041,395739.0,0.1592,3.8,97,7.47,0.0355,4,Shopee,Fashion,0
VN00184,143501251.0,0.813,610,231027.0,0.0658,4.1,1701,4.43,0.0256,5,Shopee,Beauty,0
VN00185,84511900.0,-0.2308,1054,95511.0,0.4216,5.0,772,8.35,0.0155,0,Lazada,Electronics,0
VN00186,170714029.0,0.2126,1097,163868.0,0.1326,3.9,1111,10.28,0.2503,3,TikTok Shop,Food,0
VN00187,142510782.0,0.0718,1027,254620.0,0.1464,3.7,1580,1.43,0.2568,0,Shopee,Home,0
VN00188,94619895.0,0.7384,191,309622.0,0.1858,4.1,1317,12.41,0.3505,2,TikTok Shop,Beauty,0
VN00189,52952440.0,-0.2456,77,258729.0,0.0885,3.9,1735,4.24,0.1398,1,Shopee,Electronics,0
VN00190,32083890.0,-0.0861,972,177052.0,0.1416,4.7,1476,5.65,0.0863,2,Shopee,Beauty,0
VN00191,71493263.0,0.5906,1017,308432.0,0.1485,4.3,1051,5.05,0.0971,2,Lazada,Food,0
VN00192,189955254.0,-0.2859,575,145760.0,0.483,3.7,1552,11.84,0.1086,2,TikTok Shop,Fashion,1
VN00193,117338128.0,0.2657,969,220207.0,0.1525,4.4,320,2.8,0.0676,5,TikTok Shop,Fashion,0
VN00194,39259182.0,0.2026,864,292112.0,0.2069,4.3,198,0.89,0.2355,3,TikTok Shop,Beauty,0
VN00195,113792332.0,0.068,618,267886.0,0.0615,3.5,1613,13.62,0.2749,3,Shopee,Beauty,0
VN00196,133416722.0,0.1432,620,270912.0,0.0357,4.4,1515,13.74,0.181,1,Lazada,Home,0
VN00197,51500750.0,0.3124,844,267522.0,0.2561,4.4,1661,3.98,0.1179,0,Shopee,Beauty,0
VN00198,112143945.0,-0.1483,760,118854.0,0.1046,3.5,585,0.63,0.2677,0,Shopee,Fashion,0
VN00199,104391263.0,0.365,572,202557.0,0.5696,3.6,382,9.22,0.1517,0,Lazada,Beauty,1
VN00200,42404807.0,0.6568,78,127437.0,0.0244,4.0,1293,9.25,0.0768,2,Lazada,Electronics,0
VN00201,130690243.0,0.6002,956,173731.0,0.1182,3.9,312,13.19,0.0478,1,TikTok Shop,Electronics,0
VN00202,152182101.0,-0.1576,263,111925.0,0.2936,4.5,1502,4.53,0.0998,2,Shopee,Fashion,0
VN00203,225152483.0,-0.1634,954,238586.0,0.0049,4.0,1635,3.06,0.066,1,Shopee,Beauty,0
VN00204,220267118.0,-0.0148,171,75164.0,0.1473,4.1,1119,8.82,0.0561,4,Shopee,Beauty,0
VN00205,35560569.0,0.1013,749,273386.0,0.1512,3.7,1380,8.11,0.1381,3,TikTok Shop,Beauty,1
VN00206,49457844.0,0.1606,999,202334.0,0.0348,4.7,485,10.19,0.0568,5,TikTok Shop,Electronics,0
VN00207,147049004.0,0.4996,1126,519738.0,0.0196,3.8,988,12.45,0.1378,5,TikTok Shop,Fashion,0
VN00208,146911286.0,-0.2791,1104,181262.0,0.1281,3.7,1034,8.06,0.291,5,TikTok Shop,Home,0
VN00209,147050374.0,-0.3067,676,181235.0,0.1114,4.2,506,2.53,0.0874,2,TikTok Shop,Electronics,0
VN00210,1797295044.0,0.1399,1058,282453.0,0.3534,4.7,314,8.57,0.018,4,TikTok Shop,Fashion,0
VN00211,153339946.0,0.5215,47,186606.0,0.2022,4.4,60,5.55,0.0683,0,TikTok Shop,Fashion,0
VN00212,234197241.0,-0.1082,572,230364.0,0.1585,3.9,477,6.61,0.1732,5,Lazada,Home,0
VN00213,204381994.0,0.4519,87,330116.0,0.1347,4.0,243,13.45,0.0572,4,Lazada,Food,0
VN00214,162883119.0,-0.0252,839,175649.0,0.0357,3.5,1746,7.99,0.0669,5,Shopee,Home,0
VN00215,78888661.0,0.7576,1171,364992.0,0.1694,5.0,1767,2.52,0.0072,3,Lazada,Home,0
VN00216,176569816.0,0.7696,1093,86719.0,0.0979,5.0,1633,6.48,0.0421,5,Shopee,Fashion,0
VN00217,55973062.0,0.0216,75,447638.0,0.1477,4.3,1078,3.58,0.1048,3,Lazada,Food,0
VN00218,83669581.0,-0.0625,286,82118.0,0.1693,4.2,1426,2.33,0.2005,5,TikTok Shop,Food,0
VN00219,69440258.0,0.1641,260,394784.0,0.1656,3.6,426,10.12,0.2953,5,TikTok Shop,Beauty,1
VN00220,106260651.0,-0.0493,642,78966.0,0.1756,4.1,366,8.99,0.0514,3,Shopee,Home,1
VN00221,567070348.0,0.4905,719,540523.0,0.0298,4.6,965,7.22,0.1123,5,Shopee,Home,0
VN00222,24631856.0,0.6826,676,217605.0,0.0505,4.6,997,6.21,0.3252,4,Shopee,Food,0
VN00223,167198977.0,0.4914,1169,125186.0,0.0475,4.0,884,4.85,0.017,0,Lazada,Food,0
VN00224,29813238.0,0.6804,1140,510201.0,0.1055,4.6,932,1.69,0.1031,2,Shopee,Food,0
VN00225,70143318.0,0.1462,324,116490.0,0.1165,4.8,701,4.54,0.0778,5,TikTok Shop,Fashion,0
VN00226,226150881.0,-0.1546,509,179212.0,0.0393,4.2,1333,11.82,0.2833,0,Lazada,Fashion,0
VN00227,104867690.0,0.5724,352,738485.0,0.0749,4.7,798,11.08,0.2118,1,Shopee,Fashion,0
VN00228,44530790.0,0.1006,593,244695.0,0.1537,5.0,652,13.63,0.0988,1,TikTok Shop,Home,0
VN00229,58440647.0,0.4891,24,72911.0,0.0876,5.0,588,9.36,0.0177,2,Shopee,Food,0
VN00230,166365596.0,-0.0117,63,175142.0,0.0494,3.9,1744,7.97,0.2519,5,Shopee,Fashion,0
VN00231,57784147.0,-0.2485,637,167564.0,0.0874,4.4,577,4.5,0.0472,5,Lazada,Beauty,0
VN00232,117546428.0,0.8907,745,220634.0,0.0691,4.6,952,1.54,0.0043,3,TikTok Shop,Food,0
VN00233,103406552.0,-0.1547,809,196374.0,0.2865,4.2,1251,8.84,0.2814,2,Shopee,Food,0
VN00234,61300572.0,0.8855,985,263794.0,0.0693,4.8,583,7.09,0.2393,4,Shopee,Food,0
VN00235,498920872.0,0.8716,147,93524.0,0.293,4.2,508,10.75,0.0902,5,Lazada,Fashion,0
VN00236,160762595.0,0.6423,97,152672.0,0.0816,4.1,873,6.06,0.0395,3,Shopee,Electronics,0
VN00237,21881302.0,0.4743,71,234667.0,0.0821,3.5,1655,13.8,0.1117,2,Shopee,Beauty,0
VN00238,114930797.0,0.3723,390,137164.0,0.1903,3.4,1633,5.87,0.118,2,TikTok Shop,Beauty,0
